,development_name,borough,total_units,transferred_date,address,street_number,street_name,full_address,violationid,buildingid,registrationid,boroid,housenumber,lowhousenumber,highhousenumber,streetname,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,newcertifybydate,newcorrectbydate,certifieddate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,rentimpairing,inspectiondate_year,novissued_year,date_pulled,no_days_open
5080,EDENWALD,BRONX,2039,6/27/23,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17284854,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,C,2024-09-16,2024-09-16,10/16/2024,10/11/2024,,,,617.0,9339938.0,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) CEILING IN THE BATHROOM LOCATED AT APT 8H, 8th STORY, 2nd APARTMENT FROM NORTH AT EAST",2024-09-17,2.0,NOV SENT OUT,2024-09-17,Original,Open,N,2024,2024.0,2025-10-06,384.0
5081,EDENWALD,BRONX,2039,6/27/23,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17284855,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,C,2024-09-16,2024-09-16,10/16/2024,10/11/2024,,,,624.0,9339938.0,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD-PAINT THAT IS XRF TESTED INCONCLUSIVE FOR LEAD CONTENT AT 0.5MG/CM2 AND IS PRESUMED LEAD PAINT AS SET FORTH IN (28 RCNY §11-07(b)) AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE-USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(b)(2) WEST WALL IN THE BATHROOM LOCATED AT APT 8H, 8th STORY, 2nd APARTMENT FROM NORTH AT EAST",2024-09-17,2.0,NOV SENT OUT,2024-09-17,Original,Open,N,2024,2024.0,2025-10-06,384.0
5083,EDENWALD,BRONX,2039,6/27/23,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17310041,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,B,2024-09-28,2024-09-28,11/18/2024,11/04/2024,,,,501.0,9359822.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE VENTILATION SYSTEM AT EAST WALL IN THE KITCHEN LOCATED AT APT 8H, 8th STORY, 2nd APARTMENT FROM EAST AT SOUTH",2024-09-30,2.0,NOV SENT OUT,2024-09-30,Original,Open,N,2024,2024.0,2025-10-06,371.0
5089,EDENWALD,BRONX,2039,6/27/23,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17248067,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,A,2024-08-29,2024-09-03,12/22/2024,12/08/2024,,,09/06/2024,778.0,9320370.0,"§ 27-2104 ADM CODE POST AND MAINTAIN A PROPER SIGN ON WALL OF ENTRANCE STORY SHOWING THE REGISTRATION NUMBER ASSIGNED BY THE DEPARTMENT AND THE ADDRESS OF THE BUILDING. AT PUBLIC HALL, 1st STORY",2024-09-04,21.0,NOT COMPLIED WITH,2024-09-12,Original,Open,N,2024,2024.0,2025-10-06,397.0
5136,EDENWALD,BRONX,2039,6/27/23,1165 226 DRIVE,1165.0,226 DRIVE,1165 226 DRIVE,17267469,807140,290045.0,2,1165,1165,1169,226 DRIVE,B,2024-09-13,2024-09-13,11/04/2024,10/21/2024,,,,550.0,9337969.0,"§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... GREATER THAN 10 SQ FT ON CEILING AND SOUTH WALL IN THE KITCHEN LOCATED AT APT 1B, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-09-16,22.0,FIRST NO ACCESS TO RE- INSPECT VIOLATION,2025-05-07,Original,Open,N,2024,2024.0,2025-10-06,385.0
5137,EDENWALD,BRONX,2039,6/27/23,1165 226 DRIVE,1165.0,226 DRIVE,1165 226 DRIVE,17267463,807140,290045.0,2,1165,1165,1169,226 DRIVE,B,2024-09-13,2024-09-13,11/04/2024,10/21/2024,,,,550.0,9337969.0,"§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... GREATER THAN 10 SQ FT. ON CEILING, NORTH, AND WEST WALLS IN THE BATHROOM LOCATED AT APT 1B, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-09-16,22.0,FIRST NO ACCESS TO RE- INSPECT VIOLATION,2025-05-07,Original,Open,N,2024,2024.0,2025-10-06,385.0
5165,EDENWALD,BRONX,2039,6/27/23,1115 EAST 225 STREET,1115.0,EAST 225 STREET,1115 EAST 225 STREET,17058459,806636,228707.0,2,1115,1115,1121,EAST 225 STREET,C,2024-06-19,2024-06-19,07/03/2024,06/26/2024,,,06/27/2024,672.0,9212618.0,§ 27-2033 ADM CODE PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM DOOR LOCKED AT BOILER ROOM,2024-06-20,21.0,NOT COMPLIED WITH,2024-07-22,Original,Open,N,2024,2024.0,2025-10-06,473.0
5176,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,16672768,807138,290047.0,2,1130,1130,1138,226 DRIVE,A,2024-02-14,2024-02-14,06/03/2024,05/20/2024,,,05/28/2024,502.0,8944201.0,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CERAMIC WALL TILE AT EAST IN THE KITCHEN LOCATED AT APT 2A, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",2024-02-15,21.0,NOT COMPLIED WITH,2024-06-18,Original,Open,N,2024,2024.0,2025-10-06,599.0
5177,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,16672767,807138,290047.0,2,1130,1130,1138,226 DRIVE,A,2024-02-14,2024-02-14,06/03/2024,05/20/2024,,,05/28/2024,502.0,8944201.0,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR IN THE KITCHEN LOCATED AT APT 2A, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",2024-02-15,21.0,NOT COMPLIED WITH,2024-06-18,Original,Open,N,2024,2024.0,2025-10-06,599.0
5181,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,16989042,807138,290047.0,2,1130,1130,1138,226 DRIVE,C,2024-05-21,2024-05-21,06/04/2024,05/28/2024,,,06/03/2024,502.0,9170584.0,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE AT NORTH WALL, WEST WALL, SOUTH WALL AND CEILING AT 3RD STORY AT PUBLIC HALL",2024-05-22,21.0,NOT COMPLIED WITH,2024-06-10,Original,Open,N,2024,2024.0,2025-10-06,502.0
5182,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,16672769,807138,290047.0,2,1130,1130,1138,226 DRIVE,A,2024-02-14,2024-02-14,06/03/2024,05/20/2024,,,05/28/2024,556.0,8944201.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL WALLS AND THE CEILING IN THE KITCHEN LOCATED AT APT 2A, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",2024-02-15,21.0,NOT COMPLIED WITH,2024-06-18,Original,Open,N,2024,2024.0,2025-10-06,599.0
5183,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,16672771,807138,290047.0,2,1130,1130,1138,226 DRIVE,A,2024-02-14,2024-02-14,06/03/2024,05/20/2024,,,05/28/2024,556.0,8944201.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL WALLS AND THE CEILING IN THE BATHROOM LOCATED AT APT 2A, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",2024-02-15,21.0,NOT COMPLIED WITH,2024-06-18,Original,Open,N,2024,2024.0,2025-10-06,599.0
5184,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,16672772,807138,290047.0,2,1130,1130,1138,226 DRIVE,A,2024-02-14,2024-02-14,06/03/2024,05/20/2024,,,05/28/2024,556.0,8944201.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL WALLS AND THE CEILING IN THE 3rd ROOM FROM EAST AT NORTH LOCATED AT APT 2A, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",2024-02-15,21.0,NOT COMPLIED WITH,2024-06-18,Original,Open,N,2024,2024.0,2025-10-06,599.0
5197,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,16672775,807138,290047.0,2,1130,1130,1138,226 DRIVE,A,2024-02-14,2024-02-14,06/03/2024,05/20/2024,,,05/28/2024,556.0,8944201.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL WALLS AND THE CEILING IN THE FOYER LOCATED AT APT 2A, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",2024-02-15,21.0,NOT COMPLIED WITH,2024-06-18,Original,Open,N,2024,2024.0,2025-10-06,599.0
5198,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,16672777,807138,290047.0,2,1130,1130,1138,226 DRIVE,A,2024-02-14,2024-02-14,06/03/2024,05/20/2024,,,05/28/2024,556.0,8944201.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL WALLS AND THE CEILING IN THE 1st ROOM FROM EAST AT NORTH LOCATED AT APT 2A, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",2024-02-15,21.0,NOT COMPLIED WITH,2024-06-18,Original,Open,N,2024,2024.0,2025-10-06,599.0
5199,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,16672778,807138,290047.0,2,1130,1130,1138,226 DRIVE,A,2024-02-14,2024-02-14,06/03/2024,05/20/2024,,,05/28/2024,502.0,8944201.0,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR IN THE 1st ROOM FROM EAST AT NORTH LOCATED AT APT 2A, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",2024-02-15,21.0,NOT COMPLIED WITH,2024-06-18,Original,Open,N,2024,2024.0,2025-10-06,599.0
5200,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,16672779,807138,290047.0,2,1130,1130,1138,226 DRIVE,A,2024-02-14,2024-02-14,06/03/2024,05/20/2024,,,05/28/2024,502.0,8944201.0,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR IN THE 1st ROOM FROM EAST AT SOUTH LOCATED AT APT 2A, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",2024-02-15,21.0,NOT COMPLIED WITH,2024-06-18,Original,Open,N,2024,2024.0,2025-10-06,599.0
5201,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,16672780,807138,290047.0,2,1130,1130,1138,226 DRIVE,A,2024-02-14,2024-02-14,06/03/2024,05/20/2024,,,05/28/2024,556.0,8944201.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL WALLS AND THE CEILING IN THE 1st ROOM FROM EAST AT SOUTH LOCATED AT APT 2A, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",2024-02-15,21.0,NOT COMPLIED WITH,2024-06-18,Original,Open,N,2024,2024.0,2025-10-06,599.0
5202,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,16672781,807138,290047.0,2,1130,1130,1138,226 DRIVE,A,2024-02-14,2024-02-14,06/03/2024,05/20/2024,,,05/28/2024,556.0,8944201.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL WALLS AND THE CEILING IN THE 2nd ROOM FROM EAST AT NORTH LOCATED AT APT 2A, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",2024-02-15,21.0,NOT COMPLIED WITH,2024-06-18,Original,Open,N,2024,2024.0,2025-10-06,599.0
5208,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,16672789,807138,290047.0,2,1130,1130,1138,226 DRIVE,A,2024-02-14,2024-02-14,06/03/2024,05/20/2024,,,05/28/2024,778.0,8944200.0,"§ 27-2104 ADM CODE POST AND MAINTAIN A PROPER SIGN ON WALL OF ENTRANCE STORY SHOWING THE REGISTRATION NUMBER ASSIGNED BY THE DEPARTMENT AND THE ADDRESS OF THE BUILDING. AT PUBLIC HALL, 1st STORY",2024-02-15,21.0,NOT COMPLIED WITH,2024-06-18,Original,Open,N,2024,2024.0,2025-10-06,599.0
5210,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,16672792,807138,290047.0,2,1130,1130,1138,226 DRIVE,A,2024-02-14,2024-02-14,06/03/2024,05/20/2024,,,05/28/2024,502.0,8944200.0,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE FIRE RETARDANT MATERIAL AT ALL WALLS AND THE CEILING AT PUBLIC HALL, 2nd STORY",2024-02-15,21.0,NOT COMPLIED WITH,2024-06-18,Original,Open,N,2024,2024.0,2025-10-06,599.0
5211,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,16672793,807138,290047.0,2,1130,1130,1138,226 DRIVE,A,2024-02-14,2024-02-14,06/03/2024,05/20/2024,,,05/28/2024,556.0,8944200.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL WALLS AND THE CEILING AT PUBLIC HALL, 2nd STORY",2024-02-15,21.0,NOT COMPLIED WITH,2024-06-18,Original,Open,N,2024,2024.0,2025-10-06,599.0
5212,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,16989043,807138,290047.0,2,1130,1130,1138,226 DRIVE,A,2024-05-21,2024-05-21,09/08/2024,08/25/2024,,,06/03/2024,556.0,9170583.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT SOUTH WALL, NORTH WALL, WEST WALL AND CEILING AT 3RD STORY AT PUBLIC HALL",2024-05-22,21.0,NOT COMPLIED WITH,2024-06-18,Original,Open,N,2024,2024.0,2025-10-06,502.0
5214,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,17117100,807138,290047.0,2,1130,1130,1138,226 DRIVE,B,2024-07-16,2024-07-16,09/04/2024,08/21/2024,,,,550.0,9248309.0,"§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... MORE THAN 10 SQFT AT CEILING IN THE 3rd ROOM FROM NORTH LOCATED AT APT 3B, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-07-17,22.0,FIRST NO ACCESS TO RE- INSPECT VIOLATION,2024-10-23,Original,Open,N,2024,2024.0,2025-10-06,446.0
5215,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,17117101,807138,290047.0,2,1130,1130,1138,226 DRIVE,B,2024-07-16,2024-07-16,09/04/2024,08/21/2024,,,,550.0,9248309.0,"§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... MORE THAN 10 SQFT AT CEILING IN THE 5th ROOM FROM NORTH AT WEST LOCATED AT APT 3B, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-07-17,22.0,FIRST NO ACCESS TO RE- INSPECT VIOLATION,2024-10-23,Original,Open,N,2024,2024.0,2025-10-06,446.0
5216,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,17117102,807138,290047.0,2,1130,1130,1138,226 DRIVE,B,2024-07-16,2024-07-16,09/04/2024,08/21/2024,,,,550.0,9248309.0,"§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... MORA THAN 10 SQFT AT CEILING IN THE 5th ROOM FROM NORTH AT EAST LOCATED AT APT 3B, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-07-17,22.0,FIRST NO ACCESS TO RE- INSPECT VIOLATION,2024-10-23,Original,Open,N,2024,2024.0,2025-10-06,446.0
5217,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,17117104,807138,290047.0,2,1130,1130,1138,226 DRIVE,C,2024-07-16,2024-07-16,08/05/2024,07/31/2024,,,07/29/2024,530.0,9248312.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE LATCH SET AT BUILDING ENTRANCE DOOR FROM ( STREET TO VESTIBULE)",2024-07-17,21.0,NOT COMPLIED WITH,2024-08-02,Original,Open,N,2024,2024.0,2025-10-06,446.0
5218,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,17117105,807138,290047.0,2,1130,1130,1138,226 DRIVE,C,2024-07-16,2024-07-16,07/30/2024,07/23/2024,,,07/29/2024,501.0,9248311.0,§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE HEAVY DUTY MORTISE LOCK AND ITS ASSEMBLY AT BUILDING ENTRANCE DOOR FROM (STREET TO VESTIBULE),2024-07-17,21.0,NOT COMPLIED WITH,2024-08-02,Original,Open,N,2024,2024.0,2025-10-06,446.0
5229,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,16672785,807138,290047.0,2,1130,1130,1138,226 DRIVE,C,2024-02-14,2024-02-14,02/28/2024,02/21/2024,,,02/26/2024,671.0,8944203.0,"§ 27-2033 ADM CODE POST NOTICE, IN FORM APPROVED BY THE DEPARTMENT, STATING THE NAME AND LOCATION OF THE PERSON DESIGNATED BY THE OWNER TO HAVE KEY TO BUILDINGS HEATING SYSTEM MISSING AT PUBLIC HALL, 1st STORY",2024-02-15,21.0,NOT COMPLIED WITH,2024-04-15,Original,Open,N,2024,2024.0,2025-10-06,599.0
5230,EDENWALD,BRONX,2039,6/27/23,1130 226 DRIVE,1130.0,226 DRIVE,1130 226 DRIVE,16672788,807138,290047.0,2,1130,1130,1138,226 DRIVE,A,2024-02-14,2024-02-14,06/03/2024,05/20/2024,,,04/22/2024,722.0,8944200.0,"§ 27-2053 ADM CODE POST SIGN ON WALL OF ENTRANCE STORY BEARING NAME, ADDRESS INCLUDING APARTMENT NUMBER IF ANY, AND TELEPHONE NUMBER OF SUPERINTENDENT, JANITOR OR HOUSEKEEPER. AT PUBLIC HALL, 1st STORY",2024-02-15,21.0,NOT COMPLIED WITH,2024-06-18,Original,Open,N,2024,2024.0,2025-10-06,599.0
5266,EDENWALD,BRONX,2039,6/27/23,1175 EAST 225 STREET,1175.0,EAST 225 STREET,1175 EAST 225 STREET,16677528,806638,228731.0,2,1175,1175,1181,EAST 225 STREET,C,2024-02-09,2024-02-15,02/29/2024,02/22/2024,,,02/26/2024,672.0,8946200.0,§ 27-2033 ADM CODE PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM DOOR LOCKED,2024-02-16,21.0,NOT COMPLIED WITH,2024-04-15,Original,Open,N,2024,2024.0,2025-10-06,598.0
5267,EDENWALD,BRONX,2039,6/27/23,1175 EAST 225 STREET,1175.0,EAST 225 STREET,1175 EAST 225 STREET,16618141,806638,228731.0,2,1175,1175,1181,EAST 225 STREET,C,2024-01-23,2024-01-23,02/05/2024,01/24/2024,,,01/31/2024,670.0,8906847.0,"§ 27-2031 ADM CODE PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE ENTIRE APARTMENT LOCATED AT APT 3B, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",2024-01-24,21.0,NOT COMPLIED WITH,2024-02-13,Original,Open,Y,2024,2024.0,2025-10-06,621.0
5268,EDENWALD,BRONX,2039,6/27/23,1175 EAST 225 STREET,1175.0,EAST 225 STREET,1175 EAST 225 STREET,16618142,806638,228731.0,2,1175,1175,1181,EAST 225 STREET,B,2024-01-23,2024-01-23,03/13/2024,02/28/2024,,,06/27/2024,550.0,8908173.0,"§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX 15 SQFT AT CEILING IN THE 1st ROOM FROM EAST LOCATED AT APT 3B, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",2024-01-24,4.0,NOV CERTIFIED LATE,2024-06-27,Original,Open,N,2024,2024.0,2025-10-06,621.0
5289,EDENWALD,BRONX,2039,6/27/23,1195 EAST 225 STREET,1195.0,EAST 225 STREET,1195 EAST 225 STREET,16617823,806639,228737.0,2,1195,1185,1195,EAST 225 STREET,C,2024-01-23,2024-01-23,02/06/2024,01/30/2024,,,02/05/2024,509.0,8908174.0,"§ 27-2005 ADM CODE PROPERLY SECURE THE LOOSE HAND RAIL AT PUBLIC HALL STAIRS, 3rd STORY",2024-01-24,21.0,NOT COMPLIED WITH,2024-06-24,Original,Open,N,2024,2024.0,2025-10-06,621.0
5319,EDENWALD,BRONX,2039,6/27/23,1981 SCHIEFFELIN AVENUE,1981.0,SCHIEFFELIN AVENUE,1981 SCHIEFFELIN AVENUE,17071130,806907,228741.0,2,1981,1981,1985,SCHIEFFELIN AVENUE,C,2024-06-20,2024-06-21,07/13/2024,07/08/2024,,,07/15/2024,530.0,9217646.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE HINGES , 1st STORY",2024-06-24,19.0,VIOLATION CLOSED,2025-09-12,Original,Close,N,2024,2024.0,2025-10-06,445.0
5325,EDENWALD,BRONX,2039,6/27/23,1981 SCHIEFFELIN AVENUE,1981.0,SCHIEFFELIN AVENUE,1981 SCHIEFFELIN AVENUE,16850531,806907,228741.0,2,1981,1981,1985,SCHIEFFELIN AVENUE,C,2024-04-11,2024-04-11,05/01/2024,04/26/2024,,,05/01/2024,530.0,9089277.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE HINGE AT BUILDING ENTRANCE DOOR AT PUBLIC HALL, 1st STORY",2024-04-12,19.0,VIOLATION CLOSED,2025-09-12,Original,Close,N,2024,2024.0,2025-10-06,518.0
5346,EDENWALD,BRONX,2039,6/27/23,1961 SCHIEFFELIN AVENUE,1961.0,SCHIEFFELIN AVENUE,1961 SCHIEFFELIN AVENUE,16743613,806906,228740.0,2,1961,1961,1965,SCHIEFFELIN AVENUE,B,2024-03-14,2024-03-14,05/03/2024,04/19/2024,,,06/27/2024,550.0,8989159.0,"§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... ON SOUTH WALL APPROX 28 SQ FT. IN THE KITCHEN LOCATED AT APT 3D, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",2024-03-15,20.0,DEFECT LETTER ISSUED,2025-09-12,Original,Open,N,2024,2024.0,2025-10-06,570.0
5355,EDENWALD,BRONX,2039,6/27/23,1961 SCHIEFFELIN AVENUE,1961.0,SCHIEFFELIN AVENUE,1961 SCHIEFFELIN AVENUE,16673557,806906,228740.0,2,1961,1961,1965,SCHIEFFELIN AVENUE,A,2024-02-14,2024-02-14,06/03/2024,05/20/2024,,,05/28/2024,778.0,8944198.0,"§ 27-2104 ADM CODE POST AND MAINTAIN A PROPER SIGN ON WALL OF ENTRANCE STORY SHOWING THE REGISTRATION NUMBER ASSIGNED BY THE DEPARTMENT AND THE ADDRESS OF THE BUILDING. AT PUBLIC HALL, 1st STORY",2024-02-15,19.0,VIOLATION CLOSED,2025-07-09,Original,Close,N,2024,2024.0,2025-10-06,510.0
5356,EDENWALD,BRONX,2039,6/27/23,1961 SCHIEFFELIN AVENUE,1961.0,SCHIEFFELIN AVENUE,1961 SCHIEFFELIN AVENUE,16342484,806906,228740.0,2,1961,1961,1965,SCHIEFFELIN AVENUE,C,2023-10-27,2023-10-27,11/30/2023,11/25/2023,,,06/27/2024,550.0,8707800.0,"§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... ON EAST WALL APPROXIMATELY 52 SQ FT AND NORTH WALL APPROXIMATELY 20 SQ FT. IN THE 2nd ROOM FROM NORTH AT EAST LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH , SECTION ''1965''",2023-10-30,20.0,DEFECT LETTER ISSUED,2025-09-12,Original,Open,N,2023,2023.0,2025-10-06,707.0
5360,EDENWALD,BRONX,2039,6/27/23,1961 SCHIEFFELIN AVENUE,1961.0,SCHIEFFELIN AVENUE,1961 SCHIEFFELIN AVENUE,16357246,806906,228740.0,2,1961,1961,1965,SCHIEFFELIN AVENUE,C,2023-11-02,2023-11-02,12/04/2023,11/29/2023,,,,550.0,8714905.0,"§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT THE CEILING AND ALL WALLS IN THE FOYER LOCATED AT APT 1D, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",2023-11-03,20.0,DEFECT LETTER ISSUED,2025-09-12,Original,Open,N,2023,2023.0,2025-10-06,703.0
